# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-25 12:31:50 EDT       (vaww02)
#
# Data for the following 2 site(s) are contained in this file
#    USGS 06727500 FOURMILE CREEK AT ORODELL, CO
#    USGS 06730200 BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06727500
#            TS   parameter     statistic     Description
#         17657       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	17657_00060_00003	17657_00060_00003_cd
USGS	06727500	2011-05-29	24.4	A
USGS	06727500	2011-05-30	24.2	A
USGS	06727500	2011-05-31	22.7	A
USGS	06727500	2011-06-01	21.6	A
USGS	06727500	2011-06-02	21.7	A
USGS	06727500	2011-06-03	23.9	A
USGS	06727500	2011-06-04	24.5	A
USGS	06727500	2011-06-05	25.3	A
USGS	06727500	2011-06-06	25.8	A
USGS	06727500	2011-06-07	27.3	A
USGS	06727500	2011-06-08	27.0	A
USGS	06727500	2011-06-09	26.2	A
USGS	06727500	2011-06-10	25.1	A
USGS	06727500	2011-06-11	23.3	A
USGS	06727500	2011-06-12	21.8	A
USGS	06727500	2011-06-13	20.6	A
USGS	06727500	2011-06-14	19.3	A
USGS	06727500	2011-06-15	18.8	A
USGS	06727500	2011-06-16	18.5	A
USGS	06727500	2011-06-17	18.4	A
USGS	06727500	2011-06-18	18.3	A
USGS	06727500	2011-06-19	18.3	A
USGS	06727500	2011-06-20	23.6	A
USGS	06727500	2011-06-21	19.4	A
USGS	06727500	2011-06-22	18.0	A
USGS	06727500	2011-06-23	17.6	A
USGS	06727500	2011-06-24	17.2	A
USGS	06727500	2011-06-25	17.2	A
USGS	06727500	2011-06-26	16.8	A
USGS	06727500	2011-06-27	16.9	A
USGS	06727500	2011-06-28	15.9	A
USGS	06727500	2011-06-29	15.8	A
USGS	06727500	2011-06-30	16.0	A
USGS	06727500	2011-07-01	15.6	A
USGS	06727500	2011-07-02	15.5	A
USGS	06727500	2011-07-03	15.4	A
USGS	06727500	2011-07-04	14.3	A
USGS	06727500	2011-07-05	13.6	A
USGS	06727500	2011-07-06	12.9	A
USGS	06727500	2011-07-07	13.8	A
USGS	06727500	2011-07-08	13.6	A
USGS	06727500	2011-07-09	12.2	A
USGS	06727500	2011-07-10	11.5	A
USGS	06727500	2011-07-11	11.4	A
USGS	06727500	2011-07-12	10.9	A
USGS	06727500	2011-07-13	23.8	A
USGS	06727500	2011-07-14	27.5	A
USGS	06727500	2011-07-15	26.0	A
USGS	06727500	2011-07-16	18.8	A
USGS	06727500	2011-07-17	12.6	A
USGS	06727500	2011-07-18	12.8	A
USGS	06727500	2011-07-19	11.0	A
USGS	06727500	2011-07-20	10.8	A
USGS	06727500	2011-07-21	13.2	A
USGS	06727500	2011-07-22	11.9	A
USGS	06727500	2011-07-23	8.77	A
USGS	06727500	2011-07-24	7.36	A
USGS	06727500	2011-07-25	6.60	A
USGS	06727500	2011-07-26	7.14	A
USGS	06727500	2011-07-27	5.63	A
USGS	06727500	2011-07-28	5.10	A
USGS	06727500	2011-07-29	6.01	A
USGS	06727500	2011-07-30	5.43	A
USGS	06727500	2011-07-31	4.87	A
USGS	06727500	2011-08-01	4.80	A
USGS	06727500	2011-08-02	6.23	A
USGS	06727500	2011-08-03	5.78	A
USGS	06727500	2011-08-04	4.53	A
USGS	06727500	2011-08-05	4.14	A
USGS	06727500	2011-08-06	3.60	A
USGS	06727500	2011-08-07	3.06	A
USGS	06727500	2011-08-08	3.05	A
USGS	06727500	2011-08-09	2.65	A
USGS	06727500	2011-08-10	2.45	A
USGS	06727500	2011-08-11	2.69	A
USGS	06727500	2011-08-12	2.65	A
USGS	06727500	2011-08-13	2.30	A
USGS	06727500	2011-08-14	2.49	A
USGS	06727500	2011-08-15	2.43	A
USGS	06727500	2011-08-16	1.46	A
USGS	06727500	2011-08-17	1.15	A
USGS	06727500	2011-08-18	1.07	A
USGS	06727500	2011-08-19	1.03	A
USGS	06727500	2011-08-20	1.09	A
USGS	06727500	2011-08-21	1.09	A
USGS	06727500	2011-08-22	1.05	A
USGS	06727500	2011-08-23	0.95	A
USGS	06727500	2011-08-24	0.74	A
USGS	06727500	2011-08-25	0.78	A
USGS	06727500	2011-08-26	0.76	A
USGS	06727500	2011-08-27	0.75	A
USGS	06727500	2011-08-28	0.71	A
USGS	06727500	2011-08-29	0.79	A
USGS	06727500	2011-08-30	0.71	A
USGS	06727500	2011-08-31	0.59	A
USGS	06727500	2011-09-01	0.51	A
USGS	06727500	2011-09-02	0.52	A
USGS	06727500	2011-09-03	0.54	A
USGS	06727500	2011-09-04	0.55	A
USGS	06727500	2011-09-05	0.48	A
USGS	06727500	2011-09-06	0.44	A
USGS	06727500	2011-09-07	2.67	A
USGS	06727500	2011-09-08	1.29	A
USGS	06727500	2011-09-09	0.93	A
USGS	06727500	2011-09-10	0.78	A
USGS	06727500	2011-09-11	0.66	A
USGS	06727500	2011-09-12	0.63	A
USGS	06727500	2011-09-13	0.62	A
USGS	06727500	2011-09-14	0.95	A
USGS	06727500	2011-09-15	2.09	A
USGS	06727500	2011-09-16	1.20	A
USGS	06727500	2011-09-17	0.96	A
USGS	06727500	2011-09-18	0.89	A
USGS	06727500	2011-09-19	0.78	A
USGS	06727500	2011-09-20	0.73	A
USGS	06727500	2011-09-21	0.74	A
USGS	06727500	2011-09-22	0.77	A
USGS	06727500	2011-09-23	0.66	A
USGS	06727500	2011-09-24	0.60	A
USGS	06727500	2011-09-25	0.64	A
USGS	06727500	2011-09-26	0.60	A
USGS	06727500	2011-09-27	0.52	A
USGS	06727500	2011-09-28	0.50	A
USGS	06727500	2011-09-29	0.46	A
USGS	06727500	2011-09-30	0.46	A
USGS	06727500	2011-10-01		
USGS	06727500	2011-10-02		
USGS	06727500	2011-10-03		
USGS	06727500	2011-10-04		
USGS	06727500	2011-10-05		
USGS	06727500	2011-10-06		
USGS	06727500	2011-10-07		
USGS	06727500	2011-10-08		
USGS	06727500	2011-10-09		
USGS	06727500	2011-10-10		
USGS	06727500	2011-10-11		
USGS	06727500	2011-10-12		
USGS	06727500	2011-10-13		
USGS	06727500	2011-10-14		
USGS	06727500	2011-10-15		
USGS	06727500	2011-10-16		
USGS	06727500	2011-10-17		
USGS	06727500	2011-10-18		
USGS	06727500	2011-10-19		
USGS	06727500	2011-10-20		
USGS	06727500	2011-10-21		
USGS	06727500	2011-10-22		
USGS	06727500	2011-10-23		
USGS	06727500	2011-10-24		
USGS	06727500	2011-10-25		
USGS	06727500	2011-10-26		
USGS	06727500	2011-10-27		
USGS	06727500	2011-10-28		
USGS	06727500	2011-10-29		
USGS	06727500	2011-10-30		
USGS	06727500	2011-10-31		
USGS	06727500	2011-11-01		
USGS	06727500	2011-11-02		
USGS	06727500	2011-11-03		
USGS	06727500	2011-11-04		
USGS	06727500	2011-11-05		
USGS	06727500	2011-11-06		
USGS	06727500	2011-11-07		
USGS	06727500	2011-11-08		
USGS	06727500	2011-11-09		
USGS	06727500	2011-11-10		
USGS	06727500	2011-11-11		
USGS	06727500	2011-11-12		
USGS	06727500	2011-11-13		
USGS	06727500	2011-11-14		
USGS	06727500	2011-11-15		
USGS	06727500	2011-11-16		
USGS	06727500	2011-11-17		
USGS	06727500	2011-11-18		
USGS	06727500	2011-11-19		
USGS	06727500	2011-11-20		
USGS	06727500	2011-11-21		
USGS	06727500	2011-11-22		
USGS	06727500	2011-11-23		
USGS	06727500	2011-11-24		
USGS	06727500	2011-11-25		
USGS	06727500	2011-11-26		
USGS	06727500	2011-11-27		
USGS	06727500	2011-11-28		
USGS	06727500	2011-11-29		
USGS	06727500	2011-11-30		
USGS	06727500	2011-12-01		
USGS	06727500	2011-12-02		
USGS	06727500	2011-12-03		
USGS	06727500	2011-12-04		
USGS	06727500	2011-12-05		
USGS	06727500	2011-12-06		
USGS	06727500	2011-12-07		
USGS	06727500	2011-12-08		
USGS	06727500	2011-12-09		
USGS	06727500	2011-12-10		
USGS	06727500	2011-12-11		
USGS	06727500	2011-12-12		
USGS	06727500	2011-12-13		
USGS	06727500	2011-12-14		
USGS	06727500	2011-12-15		
USGS	06727500	2011-12-16		
USGS	06727500	2011-12-17		
USGS	06727500	2011-12-18		
USGS	06727500	2011-12-19		
USGS	06727500	2011-12-20		
USGS	06727500	2011-12-21		
USGS	06727500	2011-12-22		
USGS	06727500	2011-12-23		
USGS	06727500	2011-12-24		
USGS	06727500	2011-12-25		
USGS	06727500	2011-12-26		
USGS	06727500	2011-12-27		
USGS	06727500	2011-12-28		
USGS	06727500	2011-12-29		
USGS	06727500	2011-12-30		
USGS	06727500	2011-12-31		
USGS	06727500	2012-01-01		
USGS	06727500	2012-01-02		
USGS	06727500	2012-01-03		
USGS	06727500	2012-01-04		
USGS	06727500	2012-01-05		
USGS	06727500	2012-01-06		
USGS	06727500	2012-01-07		
USGS	06727500	2012-01-08		
USGS	06727500	2012-01-09		
USGS	06727500	2012-01-10		
USGS	06727500	2012-01-11		
USGS	06727500	2012-01-12		
USGS	06727500	2012-01-13		
USGS	06727500	2012-01-14		
USGS	06727500	2012-01-15		
USGS	06727500	2012-01-16		
USGS	06727500	2012-01-17		
USGS	06727500	2012-01-18		
USGS	06727500	2012-01-19		
USGS	06727500	2012-01-20		
USGS	06727500	2012-01-21		
USGS	06727500	2012-01-22		
USGS	06727500	2012-01-23		
USGS	06727500	2012-01-24		
USGS	06727500	2012-01-25		
USGS	06727500	2012-01-26		
USGS	06727500	2012-01-27		
USGS	06727500	2012-01-28		
USGS	06727500	2012-01-29		
USGS	06727500	2012-01-30		
USGS	06727500	2012-01-31		
USGS	06727500	2012-02-01		
USGS	06727500	2012-02-02		
USGS	06727500	2012-02-03		
USGS	06727500	2012-02-04		
USGS	06727500	2012-02-05		
USGS	06727500	2012-02-06		
USGS	06727500	2012-02-07		
USGS	06727500	2012-02-08		
USGS	06727500	2012-02-09		
USGS	06727500	2012-02-10		
USGS	06727500	2012-02-11		
USGS	06727500	2012-02-12		
USGS	06727500	2012-02-13		
USGS	06727500	2012-02-14		
USGS	06727500	2012-02-15		
USGS	06727500	2012-02-16		
USGS	06727500	2012-02-17		
USGS	06727500	2012-02-18		
USGS	06727500	2012-02-19		
USGS	06727500	2012-02-20		
USGS	06727500	2012-02-21		
USGS	06727500	2012-02-22		
USGS	06727500	2012-02-23		
USGS	06727500	2012-02-24		
USGS	06727500	2012-02-25		
USGS	06727500	2012-02-26		
USGS	06727500	2012-02-27		
USGS	06727500	2012-02-28		
USGS	06727500	2012-02-29		
USGS	06727500	2012-03-01		
USGS	06727500	2012-03-02		
USGS	06727500	2012-03-03		
USGS	06727500	2012-03-04		
USGS	06727500	2012-03-05		
USGS	06727500	2012-03-06		
USGS	06727500	2012-03-07		
USGS	06727500	2012-03-08		
USGS	06727500	2012-03-09		
USGS	06727500	2012-03-10		
USGS	06727500	2012-03-11		
USGS	06727500	2012-03-12		
USGS	06727500	2012-03-13		
USGS	06727500	2012-03-14		
USGS	06727500	2012-03-15		
USGS	06727500	2012-03-16		
USGS	06727500	2012-03-17		
USGS	06727500	2012-03-18		
USGS	06727500	2012-03-19		
USGS	06727500	2012-03-20		
USGS	06727500	2012-03-21		
USGS	06727500	2012-03-22		
USGS	06727500	2012-03-23		
USGS	06727500	2012-03-24		
USGS	06727500	2012-03-25		
USGS	06727500	2012-03-26		
USGS	06727500	2012-03-27		
USGS	06727500	2012-03-28		
USGS	06727500	2012-03-29		
USGS	06727500	2012-03-30		
USGS	06727500	2012-03-31		
USGS	06727500	2012-04-01	5.25	A
USGS	06727500	2012-04-02	6.48	A
USGS	06727500	2012-04-03	7.79	A
USGS	06727500	2012-04-04	7.60	A
USGS	06727500	2012-04-05	7.05	A
USGS	06727500	2012-04-06	5.82	A
USGS	06727500	2012-04-07	5.16	A
USGS	06727500	2012-04-08	5.02	A
USGS	06727500	2012-04-09	5.12	A
USGS	06727500	2012-04-10	5.96	A
USGS	06727500	2012-04-11	6.22	A
USGS	06727500	2012-04-12	8.42	A
USGS	06727500	2012-04-13	8.24	A
USGS	06727500	2012-04-14	8.39	A
USGS	06727500	2012-04-15	8.84	A
USGS	06727500	2012-04-16	8.17	A
USGS	06727500	2012-04-17	7.62	A
USGS	06727500	2012-04-18	7.16	A
USGS	06727500	2012-04-19	7.12	A
USGS	06727500	2012-04-20	6.49	A
USGS	06727500	2012-04-21	5.61	A
USGS	06727500	2012-04-22	5.88	A
USGS	06727500	2012-04-23	6.22	A
USGS	06727500	2012-04-24	6.33	A
USGS	06727500	2012-04-25	7.06	A
USGS	06727500	2012-04-26	9.02	A
USGS	06727500	2012-04-27	9.75	A
USGS	06727500	2012-04-28	9.59	A
USGS	06727500	2012-04-29	9.10	A
USGS	06727500	2012-04-30	8.36	A
USGS	06727500	2012-05-01	7.08	A
USGS	06727500	2012-05-02	7.26	A
USGS	06727500	2012-05-03	6.10	A
USGS	06727500	2012-05-04	5.27	A
USGS	06727500	2012-05-05	5.12	A
USGS	06727500	2012-05-06	5.67	A
USGS	06727500	2012-05-07	8.20	A
USGS	06727500	2012-05-08	7.74	A
USGS	06727500	2012-05-09	6.82	A
USGS	06727500	2012-05-10	6.19	A
USGS	06727500	2012-05-11	5.72	A
USGS	06727500	2012-05-12	6.04	A
USGS	06727500	2012-05-13	5.78	A
USGS	06727500	2012-05-14	5.28	A
USGS	06727500	2012-05-15	4.95	A
USGS	06727500	2012-05-16	4.86	A
USGS	06727500	2012-05-17	4.99	A
USGS	06727500	2012-05-18	4.71	A
USGS	06727500	2012-05-19	5.71	A
USGS	06727500	2012-05-20	5.70	A
USGS	06727500	2012-05-21	5.10	A
USGS	06727500	2012-05-22	5.08	A
USGS	06727500	2012-05-23	5.53	A
USGS	06727500	2012-05-24	5.52	A
USGS	06727500	2012-05-25	4.65	A
USGS	06727500	2012-05-26	4.67	A
USGS	06727500	2012-05-27	4.27	A
USGS	06727500	2012-05-28	3.80	A
USGS	06727500	2012-05-29	3.70	A
USGS	06727500	2012-05-30	3.89	A
USGS	06727500	2012-05-31	3.56	A
USGS	06727500	2012-06-01	3.61	A
USGS	06727500	2012-06-02	3.57	A
USGS	06727500	2012-06-03	3.87	A
USGS	06727500	2012-06-04	4.24	A
USGS	06727500	2012-06-05	4.16	A
USGS	06727500	2012-06-06	4.47	A
USGS	06727500	2012-06-07	4.71	A
USGS	06727500	2012-06-08	4.43	A
USGS	06727500	2012-06-09	3.68	A
USGS	06727500	2012-06-10	3.15	A
USGS	06727500	2012-06-11	3.01	A
USGS	06727500	2012-06-12	2.74	A
USGS	06727500	2012-06-13	2.30	A
USGS	06727500	2012-06-14	1.69	A
USGS	06727500	2012-06-15	1.59	A
USGS	06727500	2012-06-16	1.48	A
USGS	06727500	2012-06-17	1.14	A
USGS	06727500	2012-06-18	0.68	A
USGS	06727500	2012-06-19	0.45	A
USGS	06727500	2012-06-20	0.55	A
USGS	06727500	2012-06-21	0.58	A
USGS	06727500	2012-06-22	0.46	A
USGS	06727500	2012-06-23	0.41	A
USGS	06727500	2012-06-24	0.33	A
USGS	06727500	2012-06-25	0.20	A
USGS	06727500	2012-06-26	0.38	A
USGS	06727500	2012-06-27	0.38	A
USGS	06727500	2012-06-28	0.72	A
USGS	06727500	2012-06-29	0.61	A
USGS	06727500	2012-06-30	0.54	A
USGS	06727500	2012-07-01	0.38	A
USGS	06727500	2012-07-02	0.23	A:e
USGS	06727500	2012-07-03	0.27	A
USGS	06727500	2012-07-04	0.24	A
USGS	06727500	2012-07-05	3.10	A
USGS	06727500	2012-07-06	1.23	A
USGS	06727500	2012-07-07	6.32	A
USGS	06727500	2012-07-08	8.56	A
USGS	06727500	2012-07-09	16.4	A
USGS	06727500	2012-07-10	13.6	A
USGS	06727500	2012-07-11	11.2	A
USGS	06727500	2012-07-12	9.28	A
USGS	06727500	2012-07-13	8.16	A
USGS	06727500	2012-07-14	7.19	A
USGS	06727500	2012-07-15	6.91	A
USGS	06727500	2012-07-16	7.10	A
USGS	06727500	2012-07-17	7.17	A
USGS	06727500	2012-07-18	5.66	A
USGS	06727500	2012-07-19	5.26	A
USGS	06727500	2012-07-20	4.45	A
USGS	06727500	2012-07-21	3.89	A
USGS	06727500	2012-07-22	3.73	A
USGS	06727500	2012-07-23	3.61	A
USGS	06727500	2012-07-24	4.33	A
USGS	06727500	2012-07-25	4.07	A
USGS	06727500	2012-07-26	3.21	A
USGS	06727500	2012-07-27	3.18	A
USGS	06727500	2012-07-28	3.01	A
USGS	06727500	2012-07-29	2.98	A
USGS	06727500	2012-07-30	7.57	A
USGS	06727500	2012-07-31	3.50	A
USGS	06727500	2012-08-01	2.31	A
USGS	06727500	2012-08-02	2.46	A
USGS	06727500	2012-08-03	2.18	A
USGS	06727500	2012-08-04	1.71	A
USGS	06727500	2012-08-05	1.61	A
USGS	06727500	2012-08-06	1.40	A
USGS	06727500	2012-08-07	1.56	A
USGS	06727500	2012-08-08	1.36	A
USGS	06727500	2012-08-09	1.22	A
USGS	06727500	2012-08-10	1.18	A
USGS	06727500	2012-08-11	1.03	A
USGS	06727500	2012-08-12	0.95	A
USGS	06727500	2012-08-13	0.83	A
USGS	06727500	2012-08-14	0.75	A
USGS	06727500	2012-08-15	0.70	A
USGS	06727500	2012-08-16	0.74	A
USGS	06727500	2012-08-17	0.76	A
USGS	06727500	2012-08-18	0.73	A
USGS	06727500	2012-08-19	0.67	A
USGS	06727500	2012-08-20	0.63	A
USGS	06727500	2012-08-21	0.60	A
USGS	06727500	2012-08-22	0.56	A
USGS	06727500	2012-08-23	0.57	A
USGS	06727500	2012-08-24	0.58	A
USGS	06727500	2012-08-25	0.56	A
USGS	06727500	2012-08-26	0.44	A
USGS	06727500	2012-08-27	0.41	A
USGS	06727500	2012-08-28	0.47	A
USGS	06727500	2012-08-29	0.49	A
USGS	06727500	2012-08-30	0.45	A
USGS	06727500	2012-08-31	0.44	A
USGS	06727500	2012-09-01	0.41	A
USGS	06727500	2012-09-02	0.35	A
USGS	06727500	2012-09-03	0.37	A
USGS	06727500	2012-09-04	0.32	A
USGS	06727500	2012-09-05	0.29	A
USGS	06727500	2012-09-06	0.29	A
USGS	06727500	2012-09-07	0.35	A
USGS	06727500	2012-09-08	0.52	A
USGS	06727500	2012-09-09	0.42	A
USGS	06727500	2012-09-10	0.33	A
USGS	06727500	2012-09-11	0.29	A
USGS	06727500	2012-09-12	0.62	A
USGS	06727500	2012-09-13	0.70	A
USGS	06727500	2012-09-14	0.59	A
USGS	06727500	2012-09-15	0.48	A
USGS	06727500	2012-09-16	0.40	A
USGS	06727500	2012-09-17	0.38	A
USGS	06727500	2012-09-18	0.43	A
USGS	06727500	2012-09-19	0.40	A
USGS	06727500	2012-09-20	0.37	A
USGS	06727500	2012-09-21	0.32	A
USGS	06727500	2012-09-22	0.33	A
USGS	06727500	2012-09-23	0.32	A
USGS	06727500	2012-09-24	0.29	A
USGS	06727500	2012-09-25	0.30	A
USGS	06727500	2012-09-26	0.48	A
USGS	06727500	2012-09-27	0.80	A
USGS	06727500	2012-09-28	0.62	A
USGS	06727500	2012-09-29	0.50	A
USGS	06727500	2012-09-30	0.45	A
USGS	06727500	2012-10-01		
USGS	06727500	2012-10-02		
USGS	06727500	2012-10-03		
USGS	06727500	2012-10-04		
USGS	06727500	2012-10-05		
USGS	06727500	2012-10-06		
USGS	06727500	2012-10-07		
USGS	06727500	2012-10-08		
USGS	06727500	2012-10-09		
USGS	06727500	2012-10-10		
USGS	06727500	2012-10-11		
USGS	06727500	2012-10-12		
USGS	06727500	2012-10-13		
USGS	06727500	2012-10-14		
USGS	06727500	2012-10-15		
USGS	06727500	2012-10-16		
USGS	06727500	2012-10-17		
USGS	06727500	2012-10-18		
USGS	06727500	2012-10-19		
USGS	06727500	2012-10-20		
USGS	06727500	2012-10-21		
USGS	06727500	2012-10-22		
USGS	06727500	2012-10-23		
USGS	06727500	2012-10-24		
USGS	06727500	2012-10-25		
USGS	06727500	2012-10-26		
USGS	06727500	2012-10-27		
USGS	06727500	2012-10-28		
USGS	06727500	2012-10-29		
USGS	06727500	2012-10-30		
USGS	06727500	2012-10-31		
USGS	06727500	2012-11-01		
USGS	06727500	2012-11-02		
USGS	06727500	2012-11-03		
USGS	06727500	2012-11-04		
USGS	06727500	2012-11-05		
USGS	06727500	2012-11-06		
USGS	06727500	2012-11-07		
USGS	06727500	2012-11-08		
USGS	06727500	2012-11-09		
USGS	06727500	2012-11-10		
USGS	06727500	2012-11-11		
USGS	06727500	2012-11-12		
USGS	06727500	2012-11-13		
USGS	06727500	2012-11-14		
USGS	06727500	2012-11-15		
USGS	06727500	2012-11-16		
USGS	06727500	2012-11-17		
USGS	06727500	2012-11-18		
USGS	06727500	2012-11-19		
USGS	06727500	2012-11-20		
USGS	06727500	2012-11-21		
USGS	06727500	2012-11-22		
USGS	06727500	2012-11-23		
USGS	06727500	2012-11-24		
USGS	06727500	2012-11-25		
USGS	06727500	2012-11-26		
USGS	06727500	2012-11-27		
USGS	06727500	2012-11-28		
USGS	06727500	2012-11-29		
USGS	06727500	2012-11-30		
USGS	06727500	2012-12-01		
USGS	06727500	2012-12-02		
USGS	06727500	2012-12-03		
USGS	06727500	2012-12-04		
USGS	06727500	2012-12-05		
USGS	06727500	2012-12-06		
USGS	06727500	2012-12-07		
USGS	06727500	2012-12-08		
USGS	06727500	2012-12-09		
USGS	06727500	2012-12-10		
USGS	06727500	2012-12-11		
USGS	06727500	2012-12-12		
USGS	06727500	2012-12-13		
USGS	06727500	2012-12-14		
USGS	06727500	2012-12-15		
USGS	06727500	2012-12-16		
USGS	06727500	2012-12-17		
USGS	06727500	2012-12-18		
USGS	06727500	2012-12-19		
USGS	06727500	2012-12-20		
USGS	06727500	2012-12-21		
USGS	06727500	2012-12-22		
USGS	06727500	2012-12-23		
USGS	06727500	2012-12-24		
USGS	06727500	2012-12-25		
USGS	06727500	2012-12-26		
USGS	06727500	2012-12-27		
USGS	06727500	2012-12-28		
USGS	06727500	2012-12-29		
USGS	06727500	2012-12-30		
USGS	06727500	2012-12-31		
USGS	06727500	2013-01-01		
USGS	06727500	2013-01-02		
USGS	06727500	2013-01-03		
USGS	06727500	2013-01-04		
USGS	06727500	2013-01-05		
USGS	06727500	2013-01-06		
USGS	06727500	2013-01-07		
USGS	06727500	2013-01-08		
USGS	06727500	2013-01-09		
USGS	06727500	2013-01-10		
USGS	06727500	2013-01-11		
USGS	06727500	2013-01-12		
USGS	06727500	2013-01-13		
USGS	06727500	2013-01-14		
USGS	06727500	2013-01-15		
USGS	06727500	2013-01-16		
USGS	06727500	2013-01-17		
USGS	06727500	2013-01-18		
USGS	06727500	2013-01-19		
USGS	06727500	2013-01-20		
USGS	06727500	2013-01-21		
USGS	06727500	2013-01-22		
USGS	06727500	2013-01-23		
USGS	06727500	2013-01-24		
USGS	06727500	2013-01-25		
USGS	06727500	2013-01-26		
USGS	06727500	2013-01-27		
USGS	06727500	2013-01-28		
USGS	06727500	2013-01-29		
USGS	06727500	2013-01-30		
USGS	06727500	2013-01-31		
USGS	06727500	2013-02-01		
USGS	06727500	2013-02-02		
USGS	06727500	2013-02-03		
USGS	06727500	2013-02-04		
USGS	06727500	2013-02-05		
USGS	06727500	2013-02-06		
USGS	06727500	2013-02-07		
USGS	06727500	2013-02-08		
USGS	06727500	2013-02-09		
USGS	06727500	2013-02-10		
USGS	06727500	2013-02-11		
USGS	06727500	2013-02-12		
USGS	06727500	2013-02-13		
USGS	06727500	2013-02-14		
USGS	06727500	2013-02-15		
USGS	06727500	2013-02-16		
